股票代码,会计年度,接待次数,接待机构数,接待机构人员数,基金管理公司,证券公司,保险资产管理公司,寿险公司,投资公司,资产管理公司,期货经纪公司,其它
002473,2010,0,0,0,0,0,0,0,0,0,0,0
002473,2011,0,0,0,0,0,0,0,0,0,0,0
002473,2012,0,0,0,0,0,0,0,0,0,0,0
002473,2013,0,0,0,0,0,0,0,0,0,0,0
002473,2014,0,0,0,0,0,0,0,0,0,0,0
002473,2015,0,0,0,0,0,0,0,0,0,0,0
002473,2016,0,0,0,0,0,0,0,0,0,0,0
002473,2017,0,0,0,0,0,0,0,0,0,0,0
002473,2018,0,0,0,0,0,0,0,0,0,0,0
002473,2019,0,0,0,0,0,0,0,0,0,0,0
300659,2010,0,0,0,0,0,0,0,0,0,0,0
300659,2011,0,0,0,0,0,0,0,0,0,0,0
300659,2012,0,0,0,0,0,0,0,0,0,0,0
300659,2013,0,0,0,0,0,0,0,0,0,0,0
300659,2014,0,0,0,0,0,0,0,0,0,0,0
300659,2015,0,0,0,0,0,0,0,0,0,0,0
300659,2016,0,0,0,0,0,0,0,0,0,0,0
300659,2017,0,0,0,0,0,0,0,0,0,0,0
300659,2018,0,0,0,0,0,0,0,0,0,0,0
300659,2019,1,13,13,5,2,1,1,1,2,0,1
000046,2010,0,0,0,0,0,0,0,0,0,0,0
000046,2011,0,0,0,0,0,0,0,0,0,0,0
000046,2012,0,0,0,0,0,0,0,0,0,0,0
000046,2013,0,0,0,0,0,0,0,0,0,0,0
000046,2014,0,0,0,0,0,0,0,0,0,0,0
000046,2015,0,0,0,0,0,0,0,0,0,0,0
000046,2016,0,0,0,0,0,0,0,0,0,0,0
000046,2017,0,0,0,0,0,0,0,0,0,0,0
000046,2018,1,0,0,0,0,0,0,0,0,0,0
000046,2019,6,34,45,9,16,0,1,2,4,0,0
002208,2010,0,0,0,0,0,0,0,0,0,0,0
002208,2011,0,0,0,0,0,0,0,0,0,0,0
002208,2012,0,0,0,0,0,0,0,0,0,0,0
002208,2013,0,0,0,0,0,0,0,0,0,0,0
002208,2014,0,0,0,0,0,0,0,0,0,0,0
002208,2015,0,0,0,0,0,0,0,0,0,0,0
002208,2016,0,0,0,0,0,0,0,0,0,0,0
002208,2017,0,0,0,0,0,0,0,0,0,0,0
002208,2018,0,0,0,0,0,0,0,0,0,0,0
002208,2019,0,0,0,0,0,0,0,0,0,0,0
002863,2010,0,0,0,0,0,0,0,0,0,0,0
002863,2011,0,0,0,0,0,0,0,0,0,0,0
